t,q1,q2,q3,q4,q5,q6
0.000000,-13.846154,-9.090909,38.461538,0.000000,0.000000,0.000000
0.002944,-14.368807,-9.355236,38.025046,0.000000,0.000000,0.000000
0.005889,-14.888819,-9.601225,37.576573,0.000000,0.000000,0.000000
0.008833,-15.406127,-9.829102,37.116300,0.000000,0.000000,0.000000
0.011778,-15.920666,-10.039107,36.644406,0.000000,0.000000,0.000000
0.014722,-16.432377,-10.231485,36.161064,0.000000,0.000000,0.000000
0.017667,-16.941202,-10.406491,35.666442,0.000000,0.000000,0.000000
0.020611,-17.447086,-10.564383,35.160706,0.000000,0.000000,0.000000
0.023556,-17.949976,-10.705426,34.644014,0.000000,0.000000,0.000000
0.026500,-18.449822,-10.829888,34.116523,0.000000,0.000000,0.000000
0.029445,-18.946576,-10.938039,33.578380,0.000000,0.000000,0.000000
0.032389,-19.440193,-11.030152,33.029730,0.000000,0.000000,0.000000
0.035334,-19.930629,-11.106500,32.470710,0.000000,0.000000,0.000000
0.038278,-20.417844,-11.167354,31.901453,0.000000,0.000000,0.000000
0.041223,-20.901801,-11.212987,31.322083,0.000000,0.000000,0.000000
0.044167,-21.382463,-11.243668,30.732722,0.000000,0.000000,0.000000
0.047112,-21.859796,-11.259665,30.133481,0.000000,0.000000,0.000000
0.050056,-22.333771,-11.261243,29.524467,0.000000,0.000000,0.000000
0.053001,-22.804357,-11.248661,28.905781,0.000000,0.000000,0.000000
0.055945,-23.271528,-11.222178,28.277515,0.000000,0.000000,0.000000
0.058890,-23.735260,-11.182045,27.639757,0.000000,0.000000,0.000000
0.061834,-24.195531,-11.128510,26.992586,0.000000,0.000000,0.000000
0.064779,-24.652320,-11.061813,26.336074,0.000000,0.000000,0.000000
0.067723,-25.105610,-10.982192,25.670288,0.000000,0.000000,0.000000
0.070668,-25.555384,-10.889876,24.995286,0.000000,0.000000,0.000000
0.073612,-26.001629,-10.785088,24.311119,0.000000,0.000000,0.000000
0.076557,-26.444332,-10.668046,23.617831,0.000000,0.000000,0.000000
0.079501,-26.883482,-10.538960,22.915460,0.000000,0.000000,0.000000
0.082446,-27.319073,-10.398031,22.204034,0.000000,0.000000,0.000000
0.085390,-27.751096,-10.245457,21.483575,0.000000,0.000000,0.000000
0.088335,-28.179547,-10.081426,20.754098,0.000000,0.000000,0.000000
0.091279,-28.604424,-9.906117,20.015609,0.000000,0.000000,0.000000
0.094224,-29.025723,-9.719704,19.268105,0.000000,0.000000,0.000000
0.097168,-29.443446,-9.522351,18.511579,0.000000,0.000000,0.000000
0.100113,-29.857594,-9.314216,17.746012,0.000000,0.000000,0.000000
