t,q1,q2,q3,q4,q5,q6
0.000000,138.461538,36.363636,38.461538,0.000000,0.000000,0.000000
0.002944,138.772239,35.906070,38.049321,0.000000,0.000000,0.000000
0.005887,139.076562,35.467002,37.624152,0.000000,0.000000,0.000000
0.008831,139.374686,35.046319,37.186221,0.000000,0.000000,0.000000
0.011774,139.666783,34.643892,36.735713,0.000000,0.000000,0.000000
0.014718,139.953019,34.259575,36.272811,0.000000,0.000000,0.000000
0.017661,140.233555,33.893208,35.797696,0.000000,0.000000,0.000000
0.020605,140.508546,33.544619,35.310546,0.000000,0.000000,0.000000
0.023549,140.778143,33.213624,34.811533,0.000000,0.000000,0.000000
0.026492,141.042491,32.900029,34.300827,0.000000,0.000000,0.000000
0.029436,141.301731,32.603631,33.778594,0.000000,0.000000,0.000000
0.032379,141.556000,32.324221,33.244992,0.000000,0.000000,0.000000
0.035323,141.805429,32.061584,32.700178,0.000000,0.000000,0.000000
0.038266,142.050146,31.815499,32.144300,0.000000,0.000000,0.000000
0.041210,142.290275,31.585742,31.577503,0.000000,0.000000,0.000000
0.044154,142.525936,31.372085,30.999924,0.000000,0.000000,0.000000
0.047097,142.757243,31.174301,30.411696,0.000000,0.000000,0.000000
0.050041,142.984310,30.992159,29.812943,0.000000,0.000000,0.000000
0.052984,143.207245,30.825429,29.203784,0.000000,0.000000,0.000000
0.055928,143.426153,30.673882,28.584333,0.000000,0.000000,0.000000
0.058872,143.641136,30.537292,27.954694,0.000000,0.000000,0.000000
0.061815,143.852292,30.415430,27.314966,0.000000,0.000000,0.000000
0.064759,144.059718,30.308076,26.665239,0.000000,0.000000,0.000000
0.067702,144.263507,30.215008,26.005599,0.000000,0.000000,0.000000
0.070646,144.463747,30.136011,25.336122,0.000000,0.000000,0.000000
0.073589,144.660526,30.070873,24.656877,0.000000,0.000000,0.000000
0.076533,144.853929,30.019386,23.967926,0.000000,0.000000,0.000000
0.079477,145.044038,29.981348,23.269322,0.000000,0.000000,0.000000
0.082420,145.230931,29.956561,22.561113,0.000000,0.000000,0.000000
0.085364,145.414685,29.944835,21.843335,0.000000,0.000000,0.000000
0.088307,145.595377,29.945985,21.116020,0.000000,0.000000,0.000000
0.091251,145.773077,29.959831,20.379190,0.000000,0.000000,0.000000
0.094194,145.947857,29.986201,19.632857,0.000000,0.000000,0.000000
0.097138,146.119784,30.024929,18.877027,0.000000,0.000000,0.000000
0.100082,146.288925,30.075857,18.111698,0.000000,0.000000,0.000000
