t,q1,q2,q3,q4,q5,q6
0.000000,-110.769231,36.363636,38.461538,0.000000,0.000000,0.000000
0.002863,-110.237799,35.790946,38.286119,0.000000,0.000000,0.000000
0.005727,-109.713464,35.231150,38.096483,0.000000,0.000000,0.000000
0.008590,-109.196171,34.684525,37.892717,0.000000,0.000000,0.000000
0.011454,-108.685862,34.151329,37.674914,0.000000,0.000000,0.000000
0.014317,-108.182475,33.631794,37.443174,0.000000,0.000000,0.000000
0.017181,-107.685947,33.126131,37.197602,0.000000,0.000000,0.000000
0.020044,-107.196212,32.634528,36.938308,0.000000,0.000000,0.000000
0.022908,-106.713200,32.157153,36.665408,0.000000,0.000000,0.000000
0.025771,-106.236843,31.694148,36.379019,0.000000,0.000000,0.000000
0.028635,-105.767067,31.245639,36.079266,0.000000,0.000000,0.000000
0.031498,-105.303800,30.811727,35.766274,0.000000,0.000000,0.000000
0.034361,-104.846966,30.392497,35.440173,0.000000,0.000000,0.000000
0.037225,-104.396489,29.988013,35.101092,0.000000,0.000000,0.000000
0.040088,-103.952292,29.598320,34.749165,0.000000,0.000000,0.000000
0.042952,-103.514296,29.223447,34.384527,0.000000,0.000000,0.000000
0.045815,-103.082424,28.863404,34.007312,0.000000,0.000000,0.000000
0.048679,-102.656595,28.518188,33.617655,0.000000,0.000000,0.000000
0.051542,-102.236729,28.187779,33.215692,0.000000,0.000000,0.000000
0.054406,-101.822747,27.872143,32.801557,0.000000,0.000000,0.000000
0.057269,-101.414568,27.571235,32.375384,0.000000,0.000000,0.000000
0.060132,-101.012110,27.284996,31.937306,0.000000,0.000000,0.000000
0.062996,-100.615295,27.013356,31.487454,0.000000,0.000000,0.000000
0.065859,-100.224040,26.756235,31.025956,0.000000,0.000000,0.000000
0.068723,-99.838267,26.513542,30.552939,0.000000,0.000000,0.000000
0.071586,-99.457894,26.285181,30.068527,0.000000,0.000000,0.000000
0.074450,-99.082841,26.071045,29.572839,0.000000,0.000000,0.000000
0.077313,-98.713031,25.871022,29.065994,0.000000,0.000000,0.000000
0.080177,-98.348382,25.684993,28.548104,0.000000,0.000000,0.000000
0.083040,-97.988818,25.512834,28.019280,0.000000,0.000000,0.000000
0.085904,-97.634260,25.354416,27.479627,0.000000,0.000000,0.000000
0.088767,-97.284631,25.209609,26.929247,0.000000,0.000000,0.000000
0.091630,-96.939855,25.078276,26.368235,0.000000,0.000000,0.000000
0.094494,-96.599855,24.960280,25.796683,0.000000,0.000000,0.000000
0.097357,-96.264556,24.855482,25.214679,0.000000,0.000000,0.000000
